categoria,pergunta,resposta,fonte
"Matrículas","Como faço uma nova matrícula?","Acesse a página do curso, selecione a turma desejada e clique em “Matricular-se”. Confirme seus dados e a forma de pagamento; a matrícula aparecerá no painel após a confirmação.","Central de Ajuda EducaRAG — Matrículas (conteúdo fictício)"
"Matrículas","Posso me matricular em mais de um curso ao mesmo tempo?","Sim. A plataforma fictícia EducaRAG permite matrículas simultâneas, desde que não haja conflito entre atividades presenciais obrigatórias informadas no calendário de cada curso.","Central de Ajuda EducaRAG — Matrículas simultâneas (conteúdo fictício)"
"Acesso aos cursos","Quando terei acesso ao curso depois da matrícula?","Em pagamentos aprovados, o acesso é liberado em até 15 minutos. Em bolsas integrais, ele é liberado assim que a matrícula é confirmada no painel.","Central de Ajuda EducaRAG — Liberação de acesso (conteúdo fictício)"
"Acesso aos cursos","Meu curso não aparece no painel. O que devo fazer?","Atualize a página, confirme se entrou com o e-mail usado na matrícula e consulte o status do pagamento. Se o curso continuar ausente após 30 minutos da confirmação, envie o número da matrícula ao suporte.","Central de Ajuda EducaRAG — Curso ausente (conteúdo fictício)"
"Senha","Como redefinir minha senha?","Na tela de entrada, clique em “Esqueci minha senha”, informe o e-mail cadastrado e use o link enviado. O link fictício expira em 30 minutos; depois desse período, solicite um novo.","Central de Ajuda EducaRAG — Redefinição de senha (conteúdo fictício)"
"Senha","Não recebi o e-mail para trocar a senha. Como proceder?","Confira as pastas de spam e promoções e verifique se digitou o e-mail cadastrado. Aguarde até 10 minutos antes de pedir outro link; se ainda não chegar, contate o suporte.","Central de Ajuda EducaRAG — E-mail de senha (conteúdo fictício)"
"Certificados","Como faço para obter meu certificado?","Após concluir todos os módulos obrigatórios e atingir a nota mínima, abra o curso no painel, acesse “Certificado” e clique em “Emitir certificado”. O arquivo em PDF fica disponível imediatamente.","Central de Ajuda EducaRAG — Certificados (conteúdo fictício)"
"Certificados","O certificado digital possui código de validação?","Sim. Cada certificado fictício possui um código único e uma página pública de validação. O estudante pode ocultar essa página nas configurações de privacidade.","Central de Ajuda EducaRAG — Validação de certificado (conteúdo fictício)"
"Conclusão de cursos","Quais são os requisitos para concluir um curso?","É necessário visualizar todos os módulos obrigatórios, entregar as atividades marcadas como essenciais e obter média final igual ou superior a 70 pontos em 100.","Central de Ajuda EducaRAG — Conclusão (conteúdo fictício)"
"Conclusão de cursos","Meu progresso chegou a 100%, mas o curso não foi concluído. O que faço?","Verifique se há atividade obrigatória aguardando correção. Após a última correção, o status pode levar até 2 horas para mudar; persistindo o problema, envie uma captura do progresso ao suporte.","Central de Ajuda EducaRAG — Progresso do curso (conteúdo fictício)"
"Avaliações","Como funcionam as avaliações dos cursos?","Cada curso pode combinar questionários, projetos e participação. Os pesos e a nota mínima aparecem no plano de ensino antes do início da turma.","Central de Ajuda EducaRAG — Avaliações (conteúdo fictício)"
"Avaliações","Posso refazer uma avaliação?","Questionários permitem até duas novas tentativas, considerando a maior nota. Projetos podem ser reenviados uma vez em até 7 dias após o primeiro feedback, salvo regra diferente no plano do curso.","Central de Ajuda EducaRAG — Novas tentativas (conteúdo fictício)"
"Reembolsos","Qual é o prazo para solicitar reembolso?","O pedido de reembolso pode ser feito em até 7 dias corridos após a confirmação da compra, desde que menos de 20% do conteúdo tenha sido acessado. Esta é uma política fictícia da EducaRAG para demonstração acadêmica.","Central de Ajuda EducaRAG — Reembolsos (conteúdo fictício)"
"Reembolsos","Quanto tempo leva para receber um reembolso aprovado?","A EducaRAG analisa o pedido em até 3 dias úteis. Após a aprovação, o estorno é enviado ao meio de pagamento e pode aparecer em até 10 dias úteis, conforme o processamento fictício adotado na demonstração.","Central de Ajuda EducaRAG — Prazo de estorno (conteúdo fictício)"
"Cancelamentos","Como cancelar uma matrícula?","No painel, abra “Minhas matrículas”, escolha o curso e selecione “Solicitar cancelamento”. Confirme o motivo; o acesso é encerrado quando o pedido é processado, em até 1 dia útil.","Central de Ajuda EducaRAG — Cancelamento de matrícula (conteúdo fictício)"
"Cancelamentos","Cancelar a matrícula gera reembolso automático?","Não. Cancelamento e reembolso são solicitações separadas. Para pedir devolução, consulte os critérios de reembolso e abra o pedido dentro do prazo aplicável.","Central de Ajuda EducaRAG — Cancelamento e reembolso (conteúdo fictício)"
"Suporte","Como entrar em contato com o suporte?","Use o formulário “Ajuda e suporte” no painel. O atendimento fictício funciona de segunda a sexta-feira, das 9h às 18h, e responde normalmente em até 1 dia útil.","Central de Ajuda EducaRAG — Atendimento (conteúdo fictício)"
"Suporte","Quais informações devo enviar em um chamado?","Informe o e-mail cadastrado, o número da matrícula, o nome do curso, uma descrição do problema e, se possível, uma captura de tela sem senhas nem dados de pagamento.","Central de Ajuda EducaRAG — Abertura de chamado (conteúdo fictício)"
"Bolsas","Como funciona o programa de bolsas?","O programa fictício oferece bolsas integrais ou de 50% por turma. A seleção considera o formulário socioeducacional e uma breve carta de motivação; critérios e vagas são publicados no edital de cada ciclo.","Central de Ajuda EducaRAG — Programa de bolsas (conteúdo fictício)"
"Bolsas","Quando sai o resultado de uma bolsa de estudos?","O resultado é publicado no painel e enviado por e-mail em até 10 dias úteis após o encerramento das inscrições. A vaga deve ser aceita em até 3 dias corridos.","Central de Ajuda EducaRAG — Resultado de bolsas (conteúdo fictício)"
"Pagamentos","Quais formas de pagamento são aceitas?","Na demonstração fictícia, são aceitos cartão de crédito, Pix e boleto. As opções disponíveis e eventual parcelamento aparecem antes da confirmação da compra.","Central de Ajuda EducaRAG — Formas de pagamento (conteúdo fictício)"
"Pagamentos","Meu pagamento está pendente. Quando será confirmado?","Pix costuma ser identificado em até 10 minutos, cartão em até 30 minutos e boleto em até 3 dias úteis. Se o prazo fictício for ultrapassado, envie o comprovante ao suporte.","Central de Ajuda EducaRAG — Confirmação de pagamento (conteúdo fictício)"
"Emissão de documentos","Como emitir uma declaração de matrícula?","Acesse “Meu perfil”, abra “Documentos” e escolha “Declaração de matrícula”. O PDF é gerado imediatamente para matrículas ativas.","Central de Ajuda EducaRAG — Declaração de matrícula (conteúdo fictício)"
"Emissão de documentos","É possível solicitar histórico de cursos?","Sim. Em “Meu perfil” > “Documentos”, selecione “Histórico acadêmico”. O documento reúne cursos concluídos, carga horária fictícia e notas finais e fica disponível em até 24 horas.","Central de Ajuda EducaRAG — Histórico acadêmico (conteúdo fictício)"
"Prazos","Até quando posso entregar uma atividade?","O prazo aparece no calendário da turma e na página da atividade. Salvo indicação diferente, o envio é aceito até 23h59 no horário de Brasília da data informada.","Central de Ajuda EducaRAG — Prazos de atividades (conteúdo fictício)"
"Prazos","Posso pedir prorrogação de prazo?","Em caso de imprevisto justificado, solicite prorrogação pelo suporte antes do vencimento. A equipe fictícia analisa cada caso em até 2 dias úteis, e a extensão não é automática.","Central de Ajuda EducaRAG — Prorrogação (conteúdo fictício)"
"Privacidade","Quem pode ver as informações do meu perfil?","Por padrão, apenas o próprio estudante e a equipe autorizada da plataforma veem os dados completos. Nome público, foto e certificados podem ser ocultados nas configurações de privacidade.","Central de Ajuda EducaRAG — Privacidade do perfil (conteúdo fictício)"
"Privacidade","Como altero minhas preferências de privacidade?","Abra “Meu perfil” > “Privacidade” para controlar a visibilidade da foto, do nome público e dos certificados e para escolher quais comunicações deseja receber.","Central de Ajuda EducaRAG — Preferências de privacidade (conteúdo fictício)"
"Proteção de dados","Como solicito uma cópia dos meus dados?","Em “Meu perfil” > “Privacidade e dados”, selecione “Exportar meus dados”. Após a confirmação de identidade, a plataforma fictícia disponibiliza o arquivo em até 15 dias corridos.","Central de Ajuda EducaRAG — Exportação de dados (conteúdo fictício)"
"Proteção de dados","Como pedir a exclusão da minha conta e dos dados pessoais?","Use “Meu perfil” > “Privacidade e dados” > “Excluir conta”. A solicitação exige confirmação por e-mail e é concluída em até 15 dias corridos, exceto por registros fictícios que precisem ser mantidos para obrigações administrativas da demonstração.","Central de Ajuda EducaRAG — Exclusão de dados (conteúdo fictício)"
